EGM2008,EGM96,num,dif08,dif96
35.937,35.88,1,-0.4029,-0.345592
31.185,31.336,2,-0.37561,-0.527176
29.766,29.541,3,-0.43556,-0.210632
29.772,29.814,4,-0.39356,-0.435732
34.548,34.39,5,-0.37024,-0.212322
31.952,32.168,6,-0.38084,-0.597153
41.606,41.912,7,-0.36686,-0.673282
38.149,38.399,8,-0.37902,-0.62932
30.692,31.279,9,-0.34573,-0.933451
38.381,38.992,10,-0.30806,-0.919345
42.077,42.587,11,-0.33013,-0.840055
42.687,43.011,12,-0.35752,-0.681763
42.739,43.009,13,-0.30664,-0.576664
43.04,42.985,14,-0.38715,-0.332051
41.284,41.648,15,-0.17606,-0.540094
42.134,42.348,16,-0.26624,-0.479919
41.838,42.333,17,-0.25246,-0.747364
42.228,42.624,18,-0.24928,-0.644811
39.673,40.403,19,-0.27135,-1.0011
39.546,39.951,20,-0.25966,-0.665346
37.392,37.662,21,-0.26956,-0.540368
36.798,37.163,22,-0.28155,-0.646598
35.713,36.137,23,-0.2658,-0.690406
36.335,37.086,24,-0.27281,-1.024377
34.995,35.679,25,-0.2501,-0.933677
33.781,34.319,26,-0.31767,-0.85616
35.564,36.336,27,-0.24706,-1.018716
37.895,38.291,28,-0.27084,-0.66673
43.3,43.63,29,-0.43689,-0.766895
43.158,43.41,30,-0.39349,-0.644904
44.023,43.866,31,-0.33019,-0.173324
42.043,42.486,32,-0.34355,-0.787425
43.349,43.569,33,-0.34211,-0.561628
42.876,43.06,34,-0.31539,-0.499451
42.386,42.597,35,-0.34925,-0.560401
43.561,43.934,36,-0.32632,-0.699437
44.154,44.344,37,-0.441,-0.630501
41.486,41.52,38,-0.38033,-0.413735
40.845,41.111,39,-0.36956,-0.63634
40.98,41.469,40,-0.36476,-0.853779
40.634,40.892,41,-0.3578,-0.615783
42.443,42.972,42,-0.37859,-0.907857
41.827,42.253,43,-0.36832,-0.793589
43.098,43.307,44,-0.34207,-0.550552
39.937,40.177,45,-0.37558,-0.616298
40.169,40.331,46,-0.35997,-0.522283
41.294,41.336,47,-0.33215,-0.373943
41.403,41.47,48,-0.35487,-0.422474
41.181,41.378,49,-0.3192,-0.51593
41.743,41.969,50,-0.35006,-0.576104
42.18,42.407,51,-0.34203,-0.569284
37.524,37.928,52,-0.33538,-0.73904
38.573,38.914,53,-0.32174,-0.663378
40.417,40.649,54,-0.19179,-0.424033
38.83,39.065,55,-0.36117,-0.595548
39.07,39.287,56,-0.3171,-0.533779
40.336,40.464,57,-0.34337,-0.471059
